City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,ambilobe,-13.2,49.05,82.89,47,2,2.28,MG,1621665900
114,ucluelet,48.9329,-125.5528,53.1,89,88,9.89,CA,1621665901
115,dhidhdhoo,6.8833,73.1,83.23,79,100,18.88,MV,1621665901
116,praia,14.9215,-23.5087,70.34,78,75,9.22,CV,1621665902
117,khatanga,71.9667,102.5,31.87,96,66,2.59,RU,1621665902
118,georgetown,5.4112,100.3354,89.89,66,20,1.01,MY,1621665651
119,tarancon,40.0085,-3.0073,59.34,58,100,7.05,ES,1621665904
120,kitgum,3.2783,32.8867,80.04,58,3,4.99,UG,1621665904
121,adamovka,51.5223,59.9396,81.95,24,99,10.78,RU,1621665905
122,sakakah,29.9697,40.2064,83.77,16,55,14.92,SA,1621665736
123,cayenne,4.9333,-52.3333,76.08,90,90,12.35,GF,1621665905
124,dakar,14.6937,-17.4441,69.93,88,75,9.22,SN,1621665724
125,san carlos de bariloche,-41.1456,-71.3082,28.15,90,20,6.91,AR,1621665907
126,hofn,64.2539,-15.2082,39.22,56,100,15.5,IS,1621665908
127,port blair,11.6667,92.75,82.74,82,100,16.04,IN,1621665908
128,torbay,47.6666,-52.7314,52.68,83,1,29.93,CA,1621665908
129,adrar,20.5022,-10.0711,84.29,25,2,7.72,MR,1621665909
130,rovenki,48.0833,39.3776,64.33,74,100,13.44,UA,1621665910
131,valleyview,55.0667,-117.2859,42.84,49,15,10.36,CA,1621665911
132,mandapam,9.2833,79.1167,85.5,73,94,23.29,IN,1621665912
133,mar del plata,-38.0023,-57.5575,61.09,41,90,14.0,AR,1621665745
134,cockburn town,21.4612,-71.1419,77.22,75,99,18.05,TC,1621665647
135,tias,28.9611,-13.645,67.75,77,20,27.63,ES,1621665912
136,castro,-24.7911,-50.0119,58.62,86,100,12.19,BR,1621665913
137,thompson,55.7435,-97.8558,28.56,86,75,2.3,CA,1621665733
138,leningradskiy,69.3833,178.4167,32.22,90,100,6.44,RU,1621665913
139,eureka,40.8021,-124.1637,51.21,85,33,7.0,US,1621665914
140,victoria,22.2855,114.1577,93.96,67,8,8.99,HK,1621665834
141,auki,-8.7676,160.7034,79.83,86,67,1.54,SB,1621665914
142,imbituba,-28.24,-48.6703,66.09,96,100,10.65,BR,1621665915
143,spornoye,50.8448,37.2913,64.42,63,77,9.91,RU,1621665915
144,vilhena,-12.7406,-60.1458,68.43,93,100,2.8,BR,1621665916
145,muyezerskiy,63.9333,31.65,39.06,86,100,10.49,RU,1621665916
146,teknaf,20.8624,92.3058,91.44,59,19,11.83,BD,1621665917
147,lapinig,12.3151,125.3032,86.04,68,11,6.93,PH,1621665917
148,belaya gora,68.5333,146.4167,43.5,53,99,8.39,RU,1621665917
149,ouadda,8.0777,22.4007,79.84,67,99,4.34,CF,1621665918
150,solnechnyy,50.7214,136.6319,76.6,49,100,5.1,RU,1621665647
151,tonstad,58.6626,6.7169,54.63,96,100,10.42,NO,1621665918
152,chuchkovo,54.2693,41.4465,61.34,57,87,6.53,RU,1621665919
153,traverse city,44.7631,-85.6206,68.07,88,75,8.05,US,1621665919
154,ribeira grande,38.5167,-28.7,54.0,71,20,3.44,PT,1621665920
155,sola,-13.8833,167.55,81.27,74,90,0.0,VU,1621665920
156,comodoro rivadavia,-45.8667,-67.5,46.26,81,0,2.3,AR,1621665920
157,yerbogachen,61.2767,108.0108,54.07,30,100,0.34,RU,1621665921
158,trinidad,-14.8333,-64.9,77.11,78,100,2.62,BO,1621665921
159,srednekolymsk,67.45,153.6833,38.88,62,99,7.18,RU,1621665866
160,havelock,34.8791,-76.9013,64.35,95,7,4.16,US,1621665837
161,beloha,-25.1667,45.05,76.12,41,21,4.12,MG,1621665922
162,saint-pierre,-21.3393,55.4781,80.24,72,75,24.16,RE,1621665923
163,narasannapeta,18.4167,84.05,88.25,62,99,6.44,IN,1621665923
164,narsaq,60.9167,-46.05,30.42,80,67,3.42,GL,1621665924
165,avarua,-21.2078,-159.775,77.05,73,20,11.5,CK,1621665924
166,tahe,52.3333,124.7333,43.61,83,100,7.76,CN,1621665845
167,jeremie,18.65,-74.1167,75.52,82,100,2.19,HT,1621665925
168,acarau,-2.8856,-40.12,75.36,91,17,10.45,BR,1621665925
169,moshny,49.5147,31.7476,64.98,53,0,1.74,UA,1621665925
170,cherskiy,68.75,161.3,34.25,73,100,10.69,RU,1621665926
171,maloy,61.9353,5.1136,55.13,72,98,7.58,NO,1621665926
172,san rafael,-34.6177,-68.3301,47.1,56,0,7.2,AR,1621665927
173,shillong,25.5689,91.8831,78.84,81,40,4.61,IN,1621665910
174,puerto montt,-41.4698,-72.9447,45.43,93,75,5.06,CL,1621665927
175,clyde river,70.4692,-68.5914,3.43,92,1,4.61,CA,1621665928
176,kearney,40.6995,-99.0815,69.04,88,90,17.27,US,1621665849
177,lompoc,34.6391,-120.4579,53.49,68,90,9.22,US,1621665928
178,hithadhoo,-0.6,73.0833,84.16,71,29,9.06,MV,1621665929
179,lorengau,-2.0226,147.2712,83.75,76,64,0.63,PG,1621665929
180,gizo,-8.103,156.8419,82.89,78,100,12.37,SB,1621665929
181,moron,-34.6534,-58.6198,57.83,98,100,3.94,AR,1621665766
182,matamoros,25.5333,-103.25,80.11,38,0,6.24,MX,1621665930
183,bambous virieux,-20.3428,57.7575,76.21,58,40,17.98,MU,1621665931
184,derzhavinsk,51.1,66.3167,80.49,20,0,6.78,KZ,1621665931
185,pierre,44.3683,-100.351,70.72,86,20,5.01,US,1621665931
186,berlevag,70.8578,29.0864,34.72,70,100,24.96,NO,1621665932
187,sopot,54.4418,18.56,57.88,73,0,8.05,PL,1621665932
188,taree,-31.9,152.4667,64.33,72,75,2.3,AU,1621665933
189,hermanus,-34.4187,19.2345,51.91,67,0,7.25,ZA,1621665786
190,saint-philippe,-21.3585,55.7679,80.15,67,61,15.64,RE,1621665933
191,gat,31.61,34.7642,74.79,53,0,12.01,IL,1621665841
192,airai,-8.9266,125.4092,69.96,62,100,2.44,TL,1621665934
193,baiyin,36.5583,104.2081,49.08,54,100,20.4,CN,1621665934
194,dunedin,-45.8742,170.5036,49.8,64,0,1.01,NZ,1621665935
195,tinqueux,49.25,3.9833,51.82,77,90,19.13,FR,1621665935
196,springdale,36.1867,-94.1288,68.68,100,75,5.99,US,1621665936
197,oktyabrskoye,43.0645,44.7417,87.94,41,40,5.59,RU,1621665936
198,linjiang,41.8069,126.9078,81.61,32,75,8.34,CN,1621665936
199,carauari,-4.8828,-66.8958,73.62,97,100,1.1,BR,1621665937
200,lovozero,68.005,35.0117,35.71,98,100,7.87,RU,1621665937
201,canutama,-6.5339,-64.3831,76.98,84,100,0.31,BR,1621665938
202,nishihara,26.1842,127.7558,82.45,89,90,5.99,JP,1621665938
203,tortoli,39.9256,9.6572,58.82,88,0,2.3,IT,1621665939
204,serebryanyy bor,56.8,124.8,45.1,51,100,12.19,RU,1621665939
205,mildura,-34.2,142.15,71.56,24,1,1.14,AU,1621665939
206,east london,-33.0153,27.9116,58.14,51,0,9.22,ZA,1621665940
207,lanxi,29.2195,119.477,66.6,94,100,2.28,CN,1621665940
208,faya,18.3851,42.4509,80.71,20,0,2.77,SA,1621665941
209,vila velha,-20.3297,-40.2925,71.94,82,0,4.0,BR,1621665941
210,anadyr,64.75,177.4833,37.9,86,75,8.01,RU,1621665941
211,zhigansk,66.7697,123.3711,42.12,41,74,7.99,RU,1621665942
212,douglas,41.3,-96.167,71.47,87,90,5.99,US,1621665942
213,olinda,-8.0089,-34.8553,76.73,71,20,7.67,BR,1621665943
214,sangar,63.9242,127.4739,50.02,32,43,14.97,RU,1621665943
215,manggar,-2.8833,108.2667,85.39,70,57,6.51,ID,1621665944
216,hirado,33.3597,129.5531,72.75,70,3,6.55,JP,1621665944
217,senador jose porfirio,-2.5908,-51.9542,73.08,98,41,2.55,BR,1621665945
218,salalah,17.0151,54.0924,87.89,66,20,9.22,OM,1621665945
219,krasnoselkup,65.7,82.4667,49.39,80,99,12.15,RU,1621665946
220,diego de almagro,-26.3667,-70.05,54.77,36,100,3.31,CL,1621665946
221,pamanukan,-6.2842,107.8106,88.61,59,91,7.67,ID,1621665947
222,leh,34.1667,77.5833,49.5,19,71,3.47,IN,1621665947
223,balabac,7.9868,117.0645,86.2,70,37,12.82,PH,1621665947
224,vardo,70.3705,31.1107,33.73,86,100,28.05,NO,1621665948
225,buraydah,26.326,43.975,93.65,5,100,5.82,SA,1621665948
226,aksu,41.1231,80.2644,76.8,16,98,7.43,CN,1621665949
227,bathsheba,13.2167,-59.5167,79.41,76,67,19.17,BB,1621665949
228,kozhva,65.1073,57.0459,70.27,47,100,15.95,RU,1621665949
229,taoudenni,22.6783,-3.9836,92.23,25,36,8.25,ML,1621665950
230,ha tinh,18.3333,105.9,96.33,51,22,11.14,VN,1621665951
231,chokurdakh,70.6333,147.9167,29.3,92,90,1.05,RU,1621665951
232,vila,42.0304,-8.1588,45.32,89,100,3.11,PT,1621665951
233,gobabis,-22.45,18.9667,55.96,42,0,11.56,NA,1621665952
234,kollam,8.8833,76.6,80.47,80,100,8.5,IN,1621665952
235,asau,46.4333,26.4,66.4,60,100,4.12,RO,1621665953
236,hilo,19.7297,-155.09,70.79,91,90,5.75,US,1621665953
237,krasnoturansk,54.3186,91.5639,54.39,53,100,5.79,RU,1621665954
238,campoverde,-8.4753,-74.8058,72.18,92,1,0.85,PE,1621665954
239,bam,29.106,58.357,89.13,9,0,13.06,IR,1621665955
